Department,Name,Title,Photo
设计系,吕菲,副教授,https://sdmda.bupt.edu.cn/__local/3/D8/17/678C30C22E130F88D5745B92FB7_AB69F4AE_13B994.jpg?e=.jpg
设计系,李铁萌,副教授,https://sdmda.bupt.edu.cn/__local/C/A1/B3/238BA95C63D3095558979025EF5_691BA3CD_A9999.jpg?e=.jpg
设计系,高盟,副教授,https://sdmda.bupt.edu.cn/__local/0/EB/A8/03D65E08A9C77107C14D1A10309_FA0D0C06_BB3C0.jpg?e=.jpg
设计系,吕美玉,副教授,https://sdmda.bupt.edu.cn/__local/8/11/F9/07F03C359A3EA52157828A3A891_7BF60BCC_ABDA3.jpg?e=.jpg
设计系,盛卿,副教授,https://sdmda.bupt.edu.cn/__local/6/CD/29/357B267647B4A58C144A42CA585_B5D4EC6E_49D2B.jpg?e=.jpg
设计系,孙炜,副教授,https://sdmda.bupt.edu.cn/__local/B/10/DB/04A3EE1DA526E7580EB33E39B8C_7E0ECB15_7548E.jpg?e=.jpg
设计系,由振伟,副教授,https://sdmda.bupt.edu.cn/__local/2/76/46/0D766D3DDBF6BBBC5B898398DCC_ED0BB72C_602DC.jpg?e=.jpg
数字媒体系,汪晓春,副教授,https://sdmda.bupt.edu.cn/__local/0/23/3F/4619D11E683D9299B8CD7ECDBB7_96B32214_BE94A.jpg?e=.jpg
数字媒体系,柳杨,副教授,https://sdmda.bupt.edu.cn/__local/D/DB/B8/E27479AF988FAFE149FF7885D35_136CE79B_6260C.jpg?e=.jpg
数字媒体系,符强,副教授,https://sdmda.bupt.edu.cn/__local/E/43/EE/81754690A2B901150E77E09BFD4_183749D5_46232.jpg
数字媒体系,李萌,副教授,https://sdmda.bupt.edu.cn/__local/7/F5/60/A20EB71E84F57E48370FF074C4F_4F4533FC_1DAA43.jpg
数字媒体系,兰名荥,副教授,https://sdmda.bupt.edu.cn/__local/4/3E/BB/9632453D313127ABB1116C56B97_DA5310D3_117DB0.jpg?e=.jpg
数字媒体系,张跃,副教授,https://sdmda.bupt.edu.cn/__local/8/0A/45/98C3DBC02178329D9FEEAB02380_1E114146_6499C.jpg
传播学系,高崇,副教授,https://sdmda.bupt.edu.cn/__local/4/DE/38/BF0799564C659C4E05EC4731650_46E912FB_4FDD0.jpg?e=.jpg
传播学系,黄淼,副教授,https://sdmda.bupt.edu.cn/__local/0/86/7C/3EE5FF3FC51C347566C5B1EA784_4F638E96_DA186.jpg?e=.jpg
传播学系,梁爽,副教授,https://sdmda.bupt.edu.cn/__local/9/7C/33/D0913A58A6EB3510A18552A9386_34C711A9_CA123.jpg?e=.jpg
传播学系,黄传武,副教授,https://sdmda.bupt.edu.cn/__local/4/13/1A/0E98A9B0B289FD9792B53F0B849_7D147B6E_80238.jpg?e=.jpg
传播学系,蒋淑媛,副教授,https://sdmda.bupt.edu.cn/__local/8/39/91/325F75953C7C5BF1EB19050CAF6_B419C5DE_4788D.jpg?e=.jpg
传播学系,梁刚,副教授,https://sdmda.bupt.edu.cn/__local/2/35/34/0D8E8D98FC5B9B6ED3689B32017_4D8CC254_7984A.jpg?e=.jpg
传播学系,刘剑,副教授,https://sdmda.bupt.edu.cn/__local/2/9B/B2/36FE86B54FEBD0532165095ED97_EE33F41D_9BC79.jpg?e=.jpg
传播学系,任乐毅,副教授,https://sdmda.bupt.edu.cn/__local/8/C9/91/247BCA3EF1014173C0EF71059D1_6D6E9DD5_4C5BF.jpg?e=.jpg
传播学系,万柳,副教授,https://sdmda.bupt.edu.cn/__local/5/EE/0A/7C6D71AF1A3C7286D48D0A8B415_AD5BF512_5E18A.jpg?e=.jpg
艺术教研中心,王海智,副教授,https://sdmda.bupt.edu.cn/__local/3/25/C8/DF3A459D16ADA5F929E545CCB0E_34D542E5_569FF.jpg?e=.jpg
艺术教研中心,郑晓慧,副教授,https://sdmda.bupt.edu.cn/__local/B/DE/D8/7F0ED9887A3D4B3637928C4D28E_8856D44D_69D7F.jpg?e=.jpg
艺术教研中心,郭艺涵,讲师,https://sdmda.bupt.edu.cn/__local/5/E8/8E/120BDAF27CBCE0191393130937B_64D1799B_1A332B.jpg?e=.jpg
艺术教研中心,刘晓勇,讲师,https://sdmda.bupt.edu.cn/__local/E/DA/B3/EB5F93A575F5005B64C3D959719_53C00892_AE3A8.jpg?e=.jpg
艺术教研中心,马辉,讲师,https://sdmda.bupt.edu.cn/__local/4/12/C0/D755CC248BEDBCF33C7D3011550_555FBE08_D29E2.jpg?e=.jpg
艺术教研中心,马梦鹤,讲师,https://sdmda.bupt.edu.cn/__local/D/BD/ED/F322EA1CC7E771FB63F0CF370A5_D613C8E1_4B5C8.jpg?e=.jpg
数字媒体系,赵天奇,讲师,https://sdmda.bupt.edu.cn/__local/3/DD/50/3FEB88AF642BD9A8DFFD8376E66_89313742_1E7281.jpg?e=.jpg
数字媒体系,张宪林,讲师,https://sdmda.bupt.edu.cn/__local/0/8F/7E/2BB554995444596C71D93257F24_286EC18E_C06FE.jpg?e=.jpg
数字媒体系,王楠,讲师,https://sdmda.bupt.edu.cn/__local/4/12/05/562FB57609E173F522ACC208169_44815517_D434F.jpg?e=.jpg
数字媒体系,曹璐,讲师,https://sdmda.bupt.edu.cn/__local/D/02/FE/BDCA91994489AAE7F207DF26E7A_318DD6B7_58263.jpg?e=.jpg
数字媒体系,郭宁,讲师,https://sdmda.bupt.edu.cn/__local/4/ED/1B/E5EC8BE10632490632DA911EBC8_057D4CAB_7D213.jpg?e=.jpg
数字媒体系,李荣锋,讲师,https://sdmda.bupt.edu.cn/__local/C/94/51/751ECDEC78F0FE4D7337E14CBB1_1BAC7D55_12A66F.jpg?e=.jpg
数字媒体系,陈思,讲师,https://sdmda.bupt.edu.cn/__local/6/25/1F/C47E113B8210CB9D0360C33A03F_8C6D2C57_92558.jpg?e=.jpg
数字媒体系,孙尚,讲师,https://sdmda.bupt.edu.cn/__local/8/E6/C4/ACA2ED38312C65C63B28CDB1E25_1096B36B_68AA5.jpg?e=.jpg
数字媒体系,周博,讲师,https://sdmda.bupt.edu.cn/__local/5/C6/3D/BDA4DE6E8547393062B6A053E7A_4D1A915A_B16AA.jpg?e=.jpg
数字媒体系,张若宸,讲师,https://sdmda.bupt.edu.cn/__local/D/92/5C/4105D8BBBE091AFAC90D0189E97_9C6DFDCA_525EF.jpg?e=.jpg
数字媒体系,王希萌,讲师,https://sdmda.bupt.edu.cn/__local/5/15/11/4ABB16A259F8197364AAA1516A5_FA162999_60192.jpg
数字媒体系,程希,讲师,https://sdmda.bupt.edu.cn/__local/7/EA/3B/F893E20DB640C1BF288BC892563_6390B35F_646FD.jpg
传播学系,兰朵,讲师,https://sdmda.bupt.edu.cn/__local/0/E8/3A/7B7FCD85EF1483032604DED2FFC_6B8837C8_1756B2.jpg?e=.jpg
传播学系,陈曲,讲师,https://sdmda.bupt.edu.cn/__local/B/89/07/435CB031BA9B67F475E3F2F363A_4B714062_8BAAB.jpg?e=.jpg
设计系,秦宪刚,讲师,https://sdmda.bupt.edu.cn/__local/6/12/62/306BF4F4551A769D6C7E0336551_3635234B_647E5.jpg?e=.jpg
